text,label,notes
What do you do when anxiety makes it hard to even open the assignment?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
How do you stop feeling embarrassed about asking basic questions?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I need accountability because I keep saying I will study and then I do nothing.,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I need a study routine but I never stick to one. What has worked for you?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I make a one page summary for each unit and review it before doing practice problems.,study_strategy,Synthetic realistic example; clear study method or learning technique
Every class acts like it is the only class students are taking.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Any tips for staying motivated in a class you do not enjoy but still need to pass?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
What helps you stay consistent when the class is fully online?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
Are there any free mock exams for general chemistry?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
"I stopped rereading my notes and started closing the notebook, then writing what I remember from each topic.",study_strategy,Synthetic realistic example; clear study method or learning technique
Does anyone know a free AI tool for generating practice questions from notes?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
Is there a good website for calculus problems with step-by-step solutions?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
I spent hours on the study guide and the test barely used any of it.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
I keep opening my laptop and then wasting time. How do I force myself to begin?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
The textbook explains simple ideas in the most confusing way possible.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
I summarize each lecture in five bullet points before moving to another class.,study_strategy,Synthetic realistic example; clear study method or learning technique
Does anyone know a tool that can make quizzes from PDFs?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
"Instead of highlighting whole paragraphs, I write one sentence explaining the main point.",study_strategy,Synthetic realistic example; clear study method or learning technique
I review wrong answers more than correct ones because that shows what I actually need to fix.,study_strategy,Synthetic realistic example; clear study method or learning technique
What helps you keep studying when your grades are not improving yet?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
Does anyone have a weekly study planner template they actually use?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
What is a good free tool for summarizing long textbook chapters?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
"I read the chapter summary first, then read the details with the main idea already in my head.",study_strategy,Synthetic realistic example; clear study method or learning technique
"I plan my study sessions around specific tasks, like ten practice problems, not just study chemistry.",study_strategy,Synthetic realistic example; clear study method or learning technique
What website has good explanations for probability problems?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
How do you deal with feeling like your effort is not paying off?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I do not understand why professors assign expensive books and barely use them.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
"For programming, I comment each line in simple English until I understand the logic.",study_strategy,Synthetic realistic example; clear study method or learning technique
What podcast or playlist helps you study without getting distracted?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
I try to predict exam questions from the professor's repeated examples.,study_strategy,Synthetic realistic example; clear study method or learning technique
I am tired of spending money on access codes just to do homework.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Can anyone recommend a note-taking app that works well for lecture slides?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
I put my phone across the room during study blocks so I do not keep checking it.,study_strategy,Synthetic realistic example; clear study method or learning technique
I keep comparing my progress to others. How do I focus on my own work?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
What helped me was making flashcards the same day as the lecture instead of waiting until exam week.,study_strategy,Synthetic realistic example; clear study method or learning technique
I feel overwhelmed before I even open my notes. How do you get past that?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
Group projects always become one person doing the work while everyone else disappears.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
What do you tell yourself when the material makes you feel slow?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
What is a good website for learning Excel formulas with practice files?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
What tool do you use to organize research articles for class projects?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
Can someone recommend a study timer app with task tracking?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
I make a weekly study schedule every Sunday and adjust it after each quiz.,study_strategy,Synthetic realistic example; clear study method or learning technique
"The slides are basically empty, so I have no idea what to review.",complaint,Synthetic realistic example; mainly frustration or dissatisfaction
I use office hours with specific questions instead of just saying I do not understand.,study_strategy,Synthetic realistic example; clear study method or learning technique
I started using a 25 minute timer because studying for hours without breaks made me lose focus.,study_strategy,Synthetic realistic example; clear study method or learning technique
How do you stop comparing yourself to classmates who understand everything faster?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
The professor expects participation but makes people feel dumb for asking questions.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
I hate when the homework system marks the whole answer wrong for one formatting issue.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Are there any free websites for practicing public speaking presentations?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
Does anyone know a free resource for nursing dosage calculation practice?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
Having multiple exams in one week should not be normal.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
"For coding assignments, I rebuild examples from scratch instead of copying the professor's code.",study_strategy,Synthetic realistic example; clear study method or learning technique
I group my notes by learning objective instead of by the order they were taught.,study_strategy,Synthetic realistic example; clear study method or learning technique
College feels like one deadline after another with no real break.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Where can I find practice exams for college algebra?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
"I want to do better this semester, but I do not trust myself to stay consistent. Any tips?",motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I quiz myself with old homework questions instead of only reading the solutions.,study_strategy,Synthetic realistic example; clear study method or learning technique
I am tired of discussion boards that feel like busy work every week.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
What is a good resource for learning APA citation style?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
How do people study every day without burning out?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
Where can I get a simple study schedule template for finals week?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
Is there an app that blocks distractions while studying?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
I am burned out from studying every night and still not seeing better grades.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
The instructions are so unclear that I spend more time decoding the assignment than doing it.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
I am scared I am not smart enough for this major. How do you keep going?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I studied all weekend and the exam still looked nothing like what we practiced.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Can someone recommend a good online whiteboard for studying with classmates?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
I keep turning things in on time but still feel like I am behind in every class.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
I explain the topic to my younger sibling because simple explanations show if I really get it.,study_strategy,Synthetic realistic example; clear study method or learning technique
I am frustrated because the practice problems were easy but the test problems were brutal.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
I turn headings in the textbook into questions and answer them without looking.,study_strategy,Synthetic realistic example; clear study method or learning technique
I wish feedback was more than just a score with no explanation.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Where can I find simple explanations for data structures topics?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
Where can I find simple examples for writing thesis statements?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
What is the first thing you do when you are behind and overwhelmed?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I make mini quizzes from my notes and take them again after a few days.,study_strategy,Synthetic realistic example; clear study method or learning technique
Are there any websites with old biology quizzes for practice?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
What is the best free resource for learning anatomy terms?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
"For my history class, I make a timeline from memory before checking the textbook again.",study_strategy,Synthetic realistic example; clear study method or learning technique
I hate when professors say everything is important and then test random tiny details.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
How do I make myself care about a required class that has nothing to do with my major?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
How do you build discipline if motivation is not enough?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
What YouTube channel explains statistics in a beginner-friendly way?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
"I want to be consistent, but I lose motivation after two days. Any advice?",motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I am honestly drained because even weekends are full of schoolwork.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
What mindset helps when you are behind but the deadline is still coming?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
It feels unfair when the exam average is low and nothing gets adjusted.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
I hate when group members wait until the last night to reply.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
What do you do when you feel guilty for resting but too tired to study?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
Where can I find study guides for basic economics?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
"I started studying with one serious friend, and we take turns asking each other questions.",study_strategy,Synthetic realistic example; clear study method or learning technique
Does anyone know a tool for turning lecture recordings into notes?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
It is frustrating when the professor cancels class but still adds extra readings.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Does anyone have advice for studying after a long work shift?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
"After each lecture, I write three things I understood and two questions I still need answered.",study_strategy,Synthetic realistic example; clear study method or learning technique
This class is stressful because every assignment has a different submission rule.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Can anyone recommend a simple app for making concept maps?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
What do you do when you know you need to study but keep procrastinating?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
